30032;10002;Carpacco;0
30032;10003;Dignano;1
30032;10004;Vidulis;0
30032;20001;Borgata Mezzoli;0
30033;10001;Dogna;1
30033;20001;Balador;0
30033;20002;Chiutdipupe;0
30033;20003;Krivaja;0
30033;20005;Porto;0
30033;20006;Via Stazione;0
30033;20007;Vidali;0
30033;20009;Roncheschin;0
30033;24908;Visocco;0
30034;10001;Clabuzzaro;0
30034;10002;Cras;1
30034;20001;Crai;0
30034;20002;Lase;0
30034;20003;Oznebrida;0
30034;20005;Peternel;0
30034;20006;Prapotnizza;0
30034;20008;Trinco;0
30034;20009;Trusgne;0
30034;20010;Zavart;0
30034;20012;Drenchia;0
30034;20013;Obenetto;0
30034;20014;Zuodar;0
30034;24904;Paciuch;0
30035;10001;Enemonzo-Quinis;1
30035;10002;Fresis;0
30035;10003;Maiaso;0
30035;10004;Tartinis-Colza;0
30036;10001;Campeglio;0
30036;10002;Canal di Griv˜;0
30036;10003;Canebola;0
30036;10004;Faedis;1
30036;10005;Raschiacco;0
30036;10006;Ronchis;0
30036;10007;Valle;0
30036;20001;Borgo Stremiz;0
30036;20002;Borgo Scubla;0
30036;20003;Canal del Ferro di Sopra;0
30036;20004;Canal del Ferro di Sotto;0
30036;20005;Casali Bertossi;0
30036;20006;Casali Cos;0
30036;20007;Casali de Luca;0
30036;20008;Case Presa;0
30036;20009;Colloredo;0
30036;20010;Costapiana;0
30036;24911;Costalunga;0
30036;24912;Pedrosa;0
30036;30001;Zona Produttiva;0
30037;10001;Casali Vena;0
30037;10002;Fagagna;1
30037;10003;Madrisio;0
30037;10004;Casali San Vito;0
30037;20001;Casali Chiamot;0
30037;20002;Casali Molini Lini;0
30037;20004;Villaverde;0
30038;10002;Papariano;0
30038;10003;San Lorenzo;0
30038;10004;Sant'Antonio;0
30038;10005;San Valentino;1
30038;20001;Fossavecchia;0
30038;20002;Ginata;0
30038;20003;Mazzoletta;0
30038;20004;Palazzatto;0
30038;20005;Pizzacca;0
30038;20006;Ponte Tiel;0
30038;20007;Laghetto;0
30038;20008;Via Tiel;0
30039;10001;Flaibano;1
30039;10002;Sant'Odorico;0
30040;10001;Collina;0
30040;10002;Forni Avoltri;1
30040;10003;Sigilletto;0
30040;20001;Ciolos;0
30040;20002;Frassenetto;0
30041;10001;Forni di Sopra;1
30041;20001;Villaggio Stinsans;0
30042;10001;Forni di Sotto;1
30043;10001;Gemona;1
30044;10001;Gonars;1
30044;10002;Ontagnano;0
30044;20002;Via Cividale;0
30044;20003;Monte Santo-Stradalta;0
30045;10001;Clodig;1
30045;10002;Liessa;0
30045;10003;Lombai;0
30045;10005;Topol˜;0
30045;20001;Brida di Sopra;0
30045;20002;Brida di Sotto;0
30045;20003;Costne;0
30045;20004;Grimacco Inferiore;0
30045;20005;Grimacco Superiore;0
30045;20006;Rucchin;0
30045;20007;Seuza;0
30045;20008;Sverinaz;0
30045;20009;Plataz;0
30046;10001;Bevazzana;0
30046;10002;Gorgo;0
30046;10003;Latisana;1
30046;10004;Pertegada;0
30046;20001;Duranti;0
30046;20002;Paschetto;0
30046;20003;California;0
30047;10001;Avaglio;0
30047;10002;Buttea;0
30047;10003;Lauco;1
30047;10004;Sot Cretz;0
30047;10005;Trava;0
30047;10006;Vinaio;0
30047;20001;Allegnidis;0
30047;20002;Chiassis;0
30047;20003;Plugna;0
30047;20004;Val;0
30047;20005;Vas;0
30047;20006;Uerpa;0
30048;10001;Galleriano;0
30048;10002;Lestizza;1
30048;10003;Nespoledo-Villacaccia;0
30048;10004;Santa Maria;0
30048;10005;Sclaunicco;0
30049;10001;Lignano Sabbiadoro;1
30049;20001;Casabianca;0
30049;20002;Casabianca II;0
30049;20003;Casabianca III;0
30049;20004;Casabianca I;0
30050;10001;Ligosullo;1
30050;10002;Murzalis;0
30051;10001;Cesariis;0
30051;10002;Lusevera;0
30051;10003;Micottis;0
30051;10004;Pradielis;0
30051;10005;Vedronza;1
30051;10006;Villanova;0
30051;20001;Musi;0
30052;10001;Bueriis;0
30052;10002;Magnano in Riviera;1
30052;30001;Via Pontebbana;0
30053;10001;Majano;1
30053;10003;Sant'Eliseo;0
30053;20001;Borgo Schiratti;0
30053;20002;Case Zucchiatti;0
30053;20003;Borgo Cividas;0
30053;20004;San Salvatore;0
30054;10001;Bagni di Lusnizza;0
30054;10002;Malborghetto;1
30054;10003;Ugovizza;0
30054;10004;Valbruna;0
30054;20001;Cucco;0
30054;20002;Santa Caterina;0
30055;10001;Manzano;1
