41001;10001;Acqualagna;1
41001;10002;Bellaria-Pole-Petriccio;0
41001;10003;Furlo;0
41001;20001;Ca' Chiaruccio;0
41001;20002;Ca' Romano I;0
41001;20004;Fossato;0
41001;20005;Galeotti;0
41001;20007;Pianacce;0
41002;10001;Apecchio;1
41002;10002;Serravalle di Carda;0
41002;20001;Colombara;0
41002;20002;Osteria di Pietragialla;0
41002;20003;Pian di Molino;0
41002;20004;Valdara;0
41002;20005;Monte Cavallo;0
41003;10001;Auditore;1
41003;10002;Casinina;0
41003;10003;San Leo;0
41003;20001;Ca' Angelino;0
41003;20002;San Giovanni;0
41004;10001;Barchi;1
41004;10002;Vergineto;0
41004;20002;Villa del Monte;0
41005;10001;Belforte;1
41005;20001;Molino;0
41005;20002;Torriola;0
41006;10001;Borgo Pace;1
41006;10002;Lamoli;0
41006;10003;Parchiule;0
41006;20001;Figgiano;0
41006;20002;Palazzo Mucci;0
41006;20003;Sompiano;0
41006;24904;Fonte Abeti;0
41007;10001;Acqualagna;0
41007;10002;Cagli;1
41007;10003;Cerreto;0
41007;10004;Grumale;0
41007;10005;Massa;0
41007;10007;Moria;0
41007;10008;Naro;0
41007;10009;Paravento;0
41007;10010;Pianello;0
41007;10011;Pieia;0
41007;10012;Secchiano;0
41007;10013;Smirra;0
41007;15706;Monte Petrano;0
41007;20001;Abbadia;0
41007;20004;Caimarini;0
41007;20005;Caimercati;0
41007;20007;Case Nuove;0
41007;20008;Cherio;0
41007;20009;Corsella;0
41007;20010;Foci;0
41007;20011;Fornace;0
41007;20013;Il Poggio;0
41007;20014;La Serra;0
41007;20015;Le Foci;0
41007;20016;Montebello;0
41007;20017;Montione;0
41007;20018;Pian dei Conti;0
41007;20019;Pian di Polea;0
41007;20020;Polea;0
41007;20021;Ponte di Ferro;0
41007;20022;Ponte Rosso;0
41007;20023;Rio Secco;0
41007;20024;Via Stratta;0
41007;20025;Calamello;0
41007;20026;Molaccione;0
41007;20027;Civita;0
41007;20028;Oriana;0
41007;20029;Caiserra;0
41007;20030;Bufano;0
41007;20806;Cappuccini;0
41007;30001;Candiracci;0
41008;10001;Cantiano;1
41008;10002;Chiaserna;0
41008;10004;Moria;0
41008;10006;Pontericcioli;0
41008;20001;Casale;0
