66001;10001;Acciano;1
66001;10002;Beffi;0
66001;10003;Roccapreturo;0
66001;10004;San Lorenzo;0
66001;10005;Succiano;0
66002;10001;Aielli;1
66002;10002;Aielli Stazione;0
66002;10003;Sardellino;0
66002;20001;Contrada Paolo Borsellino;0
66002;30001;Localitˆ Produttiva Via Tiburtina;0
66003;10001;Alfedena;1
66004;10001;Anversa degli Abruzzi;1
66004;10002;Castrovalva;0
66005;10001;Ateleta;1
66005;10002;Carceri Alte;0
66005;10003;Carceri Basse;0
66005;10004;Colle Giovenchi;0
66005;20001;Cotica-Mingone;0
66005;20003;Nazzari;0
66005;20005;Pitassi;0
66005;20007;Ricci-Maccaroni;0
66005;20008;Sciullo;0
66005;20009;Sicinella;0
66006;10001;Antrosano;0
66006;10002;Avezzano;1
66006;10003;Case Incile;0
66006;10004;Castelnuovo;0
66006;10005;Cese;0
66006;20001;Borgo Via Nuova;0
66006;20002;Macerino Vecchio;0
66006;20004;Pozzone;0
66006;20005;Olmetto;0
66006;20006;Maiorana;0
66006;20007;Faenza;0
66006;20803;Madonna Pietracquaria;0
66006;30001;Cava Inerti Torrelli;0
66006;30002;Discarica Inerti Solegara;0
66006;30003;Discarica R.S.U. Santa Lucia;0
66007;10001;Balsorano Nuovo;1
66007;10002;Balsorano Vecchio;0
66007;10003;Case Marconi;0
66007;10004;Collepiano;0
66007;10005;Ridotti;0
66007;20001;Case Alfonsi;0
66007;20002;Case Catena;0
66007;20003;Case Cerroni;0
66007;20004;Case Cipriani;0
66007;20005;Case di Norcia;0
66007;20006;Case Giovannangeli;0
66007;20007;Case Giovannone;0
66007;20008;Case Pelagalli;0
66007;20009;Casino Villa;0
66007;20010;Collecastagno;0
66007;20011;Fossato di Sasso;0
66007;20012;Le Fosse;0
66007;20013;Noce Grande;0
66007;20014;Ponte Collepiano;0
66007;20015;Vigne Cerase;0
66008;10001;Barete;1
66008;20001;Teora;0
66008;20002;Sant'Eusanio;0
66008;20003;San Sabino-Basanello;0
66008;20004;Colli;0
66009;10001;Barisciano;1
66009;10002;Petogna;0
66009;10003;San Martino;0
66010;10001;Barrea;1
66011;10001;Bisegna;1
66011;10002;San Sebastiano;0
66012;10001;Bugnara;1
66012;10002;Torre dei Nolfi;0
66012;20001;Faiella;0
66012;20002;Paccucci;0
66012;20003;Stazione Anversa-Villalago Scanno;0
66013;10001;Cagnano Amiterno;1
66013;10002;Corroccioni;0
66013;10003;Fiugni;0
66013;10004;San Giovanni;0
66013;10005;Termine;0
66014;10001;Calascio;1
66015;10001;Campo di Giove;1
66015;20001;Le Piane;0
66016;10001;Campotosto;1
66016;10002;Mascioni;0
66016;10003;Ortolano;0
66016;10004;Poggio Cancelli;0
66016;20001;Case Isaia;0
66017;10001;Canistro Inferiore;1
66017;10002;Canistro;0
66017;22701;Cotardo;0
66018;10001;Cansano;1
66019;10001;Capestrano;1
